FIPS_CODE,Weekly_Wage,Total_Wages,Establishment_Count,Employment_Level
48215,366.93609324758842,59295014341.0,56,1040
18171,158.83955223880596,397480744.0,3,32
42047,207.40625,3983170880.0,9,121
47003,160.51732673267327,3456968164.0,7,109
19009,174.56207289293849,335453897.0,4,23
42999,733.27601047904193,64353796379.0,153,590
40121,256.19161260426318,4425730003.0,8,106
C4442,179.26179635761591,9388109778.0,21,218
47073,177.25849056603772,2377396369.0,6,85
31039,176.84999999999999,790073217.0,7,40
45073,205.90479515828679,5621360802.0,12,132
39115,89.497983870967744,377683979.0,3,26
06107,348.25605791962175,39230838769.0,47,702
C4874,769.0,1525252606.0,2624,NA
72091,149.94657422512236,2117738299.0,9,132
36005,461.70719720989223,92842034865.0,97,1292
39097,187.82313965341487,3677209767.0,7,97
30999,371.79156908665107,1749351069.0,16,36
48389,175.09852430555554,988568339.0,4,42
18071,205.14617044228694,4692259099.0,9,140
C1150,253.0409654561559,9131625126.0,18,241
C3258,359.62940987812698,48401588261.0,65,1081
72149,80.890532544378701,249328487.0,3,31
39171,169.07604272634791,3945278196.0,7,115
13003,111.08459214501511,287868793.0,3,28
C2494,680.25,1172586233.0,1784,33140
C2798,307.54150119142179,19818650265.0,36,423
13129,205.99840255591053,5391078446.0,9,156
16053,161.16328413284134,2046853895.0,7,76
C3098,248.746962115797,27279199818.0,34,445
02230,186.23665480427047,176805210.0,4,17
C2650,661.0,428736322.0,947,12477
50019,198.58164893617021,2137527425.0,9,68
42067,156.54452054794521,1291228311.0,6,61
17147,158.72197508896798,723266310.0,6,39
36091,404.22438044206297,26136048177.0,33,412
31015,117.54326923076923,73802110.0,3,12
C2918,370.54632442284327,67960660977.0,78,879
37191,252.65503875968992,10408761167.0,15,244
C2434,334.43324396782845,137426706750.0,102,1788
C2998,603.5,299733051.0,714,9546
13185,275.48714384989574,10453729311.0,18,231
40037,220.12929553264604,5198100340.0,11,114
19089,145.33432708688244,849987916.0,4,44
39157,273.65104895104895,8650411643.0,14,186
54011,318.9137437365784,14456827332.0,18,272
17029,200.6603726082578,4857708753.0,11,146
21089,159.03851351351352,1654991962.0,7,65
12059,106.88672496025437,437571024.0,5,25
34005,574.88577586206895,83109453635.0,49,829
45999,729.43121261555189,28590500341.0,72,239
30063,394.29904542462145,14636147382.0,26,275
22111,145.98363095238096,762741545.0,5,39
28159,174.86661211129297,925240864.0,5,46
C4934,301.97723440134905,108090103638.0,119,1277
25023,587.06564986737396,69246399582.0,68,801
02232,77.925126903553306,153889385.0,2,NA
48381,309.38204081632654,7590239461.0,15,165
C3486,646.0,739802962.0,1356,22023
35057,146.57362728785358,529477963.0,4,27
16033,133.51593625498009,84850729.0,2,7
19141,177.57386363636363,1303420795.0,6,56
38105,407.91116636528028,24692426878.0,17,276
32023,226.60752688172042,3083486912.0,8,72
35015,289.00381679389312,9643671938.0,12,166
06081,847.7164490861619,317488441652.0,115,1595
31071,119.52437106918239,107113312.0,3,13
26139,370.44519115890085,33585288162.0,30,508
19041,219.69275825346114,2085313691.0,6,61
23023,209.97418335089569,3560708603.0,10,92
33015,564.40945646145315,53694933466.0,52,629
12011,655.69025157232704,276987757621.0,263,2739
C3193,762.25,953120652.0,1592,24043
